flops_budget,depth,model_dim,num_params,lr,val_loss
6e15,10,640,523341510,0.022097087,7.765933990478516
6e15,10,640,523341510,0.03125,7.366952896118164
6e15,10,640,523341510,0.044194174,7.2023444175720215
6e15,10,640,523341510,0.0625,7.189552307128906
6e15,10,640,523341510,0.088388348,7.219778060913086
6e15,10,640,523341510,0.125,7.309239387512207
6e15,10,640,523341510,0.176776696,7.436108112335205
6e15,10,640,523341510,0.25,7.5455322265625
8e15,12,768,523341510,0.022097087,7.553953647613525
8e15,12,768,523341510,0.03125,7.257596492767334
8e15,12,768,523341510,0.044194174,7.139480113983154
8e15,12,768,523341510,0.0625,7.11616325378418
8e15,12,768,523341510,0.088388348,7.180358409881592
8e15,12,768,523341510,0.125,7.3143205642700195
8e15,12,768,523341510,0.176776696,7.450108051300049
8e15,12,768,523341510,0.25,7.599484920501709
10e15,14,896,523341510,0.022097087,7.328390598297119
10e15,14,896,523341510,0.03125,N/A
10e15,14,896,523341510,0.044194174,7.07771635055542
10e15,14,896,523341510,0.0625,7.03537654876709
10e15,14,896,523341510,0.088388348,7.161495208740234
10e15,14,896,523341510,0.125,7.2787861824035645
10e15,14,896,523341510,0.176776696,7.379023551940918
10e15,14,896,523341510,0.25,7.58255672454834
