flops_budget,depth,model_dim,num_params,lr,val_loss
6e15,10,640,523341510,0.022097087,7.808740139007568
6e15,10,640,523341510,0.03125,7.352994441986084
6e15,10,640,523341510,0.044194174,7.194622993469238
6e15,10,640,523341510,0.0625,7.142507076263428
6e15,10,640,523341510,0.088388348,7.219308853149414
6e15,10,640,523341510,0.125,7.307862281799316
6e15,10,640,523341510,0.176776696,7.448489189147949
6e15,10,640,523341510,0.25,7.55210542678833
8e15,12,768,873163116,0.022097087,8.132853507995605
8e15,12,768,873163116,0.03125,7.616631507873535
8e15,12,768,873163116,0.044194174,7.349862098693848
8e15,12,768,873163116,0.0625,7.2812724113464355
8e15,12,768,873163116,0.088388348,7.332985877990723
8e15,12,768,873163116,0.125,7.414186000823975
8e15,12,768,873163116,0.176776696,7.514664173126221
8e15,12,768,873163116,0.25,7.626598358154297
10e15,14,896,1348823308,0.022097087,8.310999870300293
10e15,14,896,1348823308,0.03125,7.8272929191589355
10e15,14,896,1348823308,0.044194174,7.50215482711792
10e15,14,896,1348823308,0.0625,7.359068870544434
10e15,14,896,1348823308,0.088388348,7.334083080291748
10e15,14,896,1348823308,0.125,7.426253795623779
10e15,14,896,1348823308,0.176776696,7.523699760437012
10e15,14,896,1348823308,0.25,7.620668411254883
1e16,16,1024,1987345600,0.03125,8.327195167541504
1e16,16,1024,1987345600,0.044194174,7.899622440338135
1e16,16,1024,1987345600,0.0625,7.622955322265625
1e16,16,1024,1987345600,0.088388348,7.518906116485596
1e16,16,1024,1987345600,0.125,7.538499355316162
1e16,16,1024,1987345600,0.176776696,7.588829040527344
1e16,16,1024,1987345600,0.25,7.656968116760254
1e16,16,1024,1987345600,0.022097087,8.930788040161133
1e17,16,1024,1987345600,0.022097087,7.312743186950684
1e17,16,1024,1987345600,0.03125,7.2144575119018555
1e17,16,1024,1987345600,0.044194174,7.127242088317871
1e17,16,1024,1987345600,0.0625,7.168108940124512
1e17,16,1024,1987345600,0.088388348,7.247325897216797
1e17,16,1024,1987345600,0.125,7.423471450805664
1e17,16,1024,1987345600,0.176776696,N/A
1e17,16,1024,1987345600,0.25,N/A
