flops_budget,depth,model_dim,num_params,lr,val_loss
1e16,4,256,55472908,0.03125,7.042304992675781
1e16,4,256,55472908,0.044194174,7.104671478271484
1e16,4,256,55472908,0.0625,7.20701265335083
1e16,4,256,55472908,0.088388348,7.298875331878662
1e16,4,256,55472908,0.125,7.429268836975098
1e16,6,384,137933976,0.03125,N/A
1e16,6,384,137933976,0.044194174,6.873062610626221
1e16,6,384,137933976,0.0625,6.88612174987793
1e16,6,384,137933976,0.088388348,6.999606132507324
1e16,6,384,137933976,0.125,7.233270168304443
1e16,8,512,287866416,0.03125,N/A
1e16,8,512,287866416,0.044194174,6.931058883666992
1e16,8,512,287866416,0.0625,6.9336113929748535
1e16,8,512,287866416,0.088388348,7.041599750518799
1e16,8,512,287866416,0.125,N/A
